                                                                           
      54      54      90      54      54      90       4       2
     4        6.08491812      0.00000000      1.63043478      0.00000000      0.00000000      0.00000000
      656.5197278106       10.0000000000       70.0000000000     0
   1   Ga   13.00
   2   N     5.00
   1       0.000000000    0.577350269    0.000000000    1
   2       0.499999999    0.288675134    0.815217391    1
   3       0.000000000    0.577350269    0.613666304    2
   4       0.499999999    0.288675134    1.428883696    2
  1.041780379E-02  1.094708230E-02  1.167490041E-02  1.261746228E-02  1.380856692E-02
  1.526905916E-02  1.703064473E-02  1.912939885E-02  2.157703790E-02  2.441110291E-02
  2.766564888E-02  3.136213007E-02  3.553016064E-02  4.017969883E-02  4.528737677E-02
  5.079546232E-02  5.661768195E-02  6.261358341E-02  6.859699458E-02  7.435427037E-02
  7.965696017E-02  8.426849693E-02  8.795947152E-02  9.054518285E-02  9.187429699E-02
  9.187429742E-02  9.054518408E-02  8.795947339E-02  8.426849924E-02  7.965696279E-02
  7.435427326E-02  6.859699778E-02  6.261358703E-02  5.661768603E-02  5.079546679E-02
  4.528738143E-02  4.017970338E-02  3.553016476E-02  3.136213350E-02  2.766565151E-02
  2.441110478E-02  2.157703912E-02  1.912939959E-02  1.703064508E-02  1.526905916E-02
  1.380856654E-02  1.261746151E-02  1.167489928E-02  1.094708097E-02  1.142273392E-02
  1.097830793E-02  1.071458082E-02  1.062234186E-02  1.071458156E-02  1.097830925E-02
  1.142273554E-02  1.206508485E-02  1.291406254E-02  1.400716834E-02  1.536819534E-02
  1.703064508E-02  1.903122015E-02  2.138605303E-02  2.412706496E-02  2.728503061E-02
  3.088531546E-02  3.497463745E-02  3.958387767E-02  4.471128129E-02  5.033699721E-02
  5.639268378E-02  6.275379589E-02  6.923800705E-02  7.563376618E-02  8.169044865E-02
  8.714328300E-02  9.172007088E-02  9.517867024E-02  9.733677137E-02  9.806759402E-02
  9.733677211E-02  9.517867161E-02  9.172007269E-02  8.714328511E-02  8.169045096E-02
  7.563376873E-02  6.923800994E-02  6.275379921E-02  5.639268753E-02  5.033700127E-02
  4.471128540E-02  3.958388152E-02  3.497464073E-02  3.088531798E-02  2.728503232E-02
  2.412706595E-02  2.138605346E-02  1.903122015E-02  1.703064473E-02  1.536819464E-02
  1.400716728E-02  1.291406113E-02  1.206508322E-02  1.266945558E-02  1.211257530E-02
  1.175351939E-02  1.156957569E-02  1.156957609E-02  1.175352052E-02  1.211257692E-02
  1.266945742E-02  1.342715549E-02  1.441653577E-02  1.567359234E-02  1.723089825E-02
  1.912939959E-02  2.138605346E-02  2.403925377E-02  2.711568700E-02  3.064584103E-02
  3.467895026E-02  3.925890748E-02  4.440218797E-02  5.011517745E-02  5.636021676E-02
  6.303143871E-02  6.997448334E-02  7.698715948E-02  8.381461014E-02  9.014695988E-02
  9.568626922E-02  1.001358218E-01  1.032501456E-01  1.048528020E-01  1.048528023E-01
  1.032501466E-01  1.001358233E-01  9.568627102E-02  9.014696186E-02  8.381461226E-02
  7.698716180E-02  6.997448597E-02  6.303144169E-02  5.636022006E-02  5.011518088E-02
  4.440219125E-02  3.925891030E-02  3.467895239E-02  3.064584236E-02  2.711568760E-02
  2.403925377E-02  2.138605304E-02  1.912939886E-02  1.723089725E-02  1.567359107E-02
  1.441653422E-02  1.342715371E-02  1.418345724E-02  1.351609996E-02  1.304699927E-02
  1.277011939E-02  1.267741488E-02  1.277012017E-02  1.304700067E-02  1.351610174E-02
  1.418345913E-02  1.506918108E-02  1.621512732E-02  1.765351544E-02  1.943209796E-02
  2.157703913E-02  2.412706596E-02  2.711568760E-02  3.057337257E-02  3.456329931E-02
  3.912247393E-02  4.428695942E-02  5.008008904E-02  5.648551653E-02  6.341920984E-02
  7.076585626E-02  7.834235874E-02  8.589609100E-02  9.311731899E-02  9.966414516E-02
  1.052016966E-01  1.094105416E-01  1.120455712E-01  1.129429902E-01  1.120455719E-01
  1.094105429E-01  1.052016982E-01  9.966414699E-02  9.311732090E-02  8.589609297E-02
  7.834236084E-02  7.076585857E-02  6.341921237E-02  5.648551916E-02  5.008009156E-02
  4.428696155E-02  3.912247543E-02  3.456330005E-02  3.057337257E-02  2.711568700E-02
  2.412706496E-02  2.157703791E-02  1.943209660E-02  1.765351395E-02  1.621512567E-02
  1.506917926E-02  1.599550279E-02  1.520929603E-02  1.463691866E-02  1.425789969E-02
  1.407401318E-02  1.407401356E-02  1.425790075E-02  1.463692022E-02  1.520929785E-02
  1.599550467E-02  1.702814147E-02  1.834197299E-02  1.998292720E-02  2.199352467E-02
  2.441110479E-02  2.728503233E-02  3.064584237E-02  3.456330005E-02  3.908969287E-02
  4.426372721E-02  5.012915770E-02  5.667680176E-02  6.384699685E-02  7.154529286E-02
  7.962932887E-02  8.785306663E-02  9.592315051E-02  1.034949701E-01  1.101881829E-01
  1.156170825E-01  1.194448308E-01  1.214282107E-01  1.214282111E-01  1.194448318E-01
